Facies,Formation,Well Name,Depth,RHOB,DT,CGR,NPHI,PEF,MSFL,LLD
5,Dato_formacion,,4062.7632,2.691045,49.598775,6.000006,0.063832,3.674379,745.70774,1123.38148
5,Dato_formacion,,4062.9156,2.71786,49.664799,6,0.067331,3.208392,547.435781,1057.754828
5,Dato_formacion,,4063.068,2.721121,49.69775,6,0.065548,3.209366,476.307302,918.844218
5,Dato_formacion,,4063.2204,2.722311,49.867384,6.000005,0.064901,3.209981,361.728937,685.892349
5,Dato_formacion,,4063.3728,2.721757,49.934199,6.000005,0.065201,3.209705,262.666168,474.550194
5,Dato_formacion,,4063.5252,2.722165,50.085806,6,0.065001,3.209336,267.684302,494.066775
5,Dato_formacion,,4063.6776,2.728222,50.169602,6,0.0618,3.20894,294.237739,560.030427
5,Dato_formacion,,4063.83,2.734185,49.943259,6.000002,0.06277,3.101915,291.436717,561.161612
5,Dato_formacion,,4063.9824,2.738736,49.894286,6,0.059046,3.135825,367.15718,745.885245
6,Dato_formacion,,4064.1348,2.747357,49.298739,6,0.054534,3.134052,691.443831,1580.350745
6,Dato_formacion,,4064.2872,2.740229,49.161108,6.000001,0.058305,3.132842,382.10573,708.470411
6,Dato_formacion,,4064.4396,2.747952,48.947639,6.000001,0.055753,3.092861,309.771353,519.622608
5,Dato_formacion,,4064.592,2.734393,48.472688,6,0.062612,3.102188,444.443167,736.285176
5,Dato_formacion,,4064.7444,2.730781,48.069171,6,0.064074,3.114781,720.118941,1169.421279
5,Dato_formacion,,4064.8968,2.730913,47.981619,6,0.064807,3.09369,767.668147,1286.430469
5,Dato_formacion,,4065.0492,2.738381,47.946421,6,0.060766,3.095695,616.69379,1026.907107
5,Dato_formacion,,4065.2016,2.738381,47.90611,6,0.060766,3.095695,619.214954,1026.29946
6,Dato_formacion,,4065.354,2.74592,47.339554,6,0.047113,3.343779,707.166647,976.388389
6,Dato_formacion,,4065.5064,2.73874,47.106066,6.000012,0.044239,3.516145,411.448898,493.894013
6,Dato_formacion,,4065.6588,2.725484,47.282767,6.118936,0.045477,3.668188,172.747769,194.844557
6,Dato_formacion,,4065.8112,2.726287,47.833472,8.095295,0.042594,3.735555,265.480318,227.941333
6,Dato_formacion,,4065.9636,2.726848,47.333488,7.973464,0.042395,3.733513,340.69045,267.886981
6,Dato_formacion,,4066.116,2.73725,46.836717,7.973464,0.045,3.521455,369.733242,293.515718
6,Dato_formacion,,4066.2684,2.738853,46.986464,6.000002,0.050264,3.360851,487.615367,618.98145
5,Dato_formacion,,4066.4208,2.739898,47.423842,6,0.058995,3.121955,770.203482,1151.295639
5,Dato_formacion,,4066.5732,2.740227,47.629456,6,0.059433,3.106148,729.698285,1150.775473
5,Dato_formacion,,4066.7256,2.74509,48.300058,6,0.055624,3.138245,816.802926,1538.697515
6,Dato_formacion,,4066.878,2.757784,47.939464,6,0.048634,3.144512,842.007731,1521.171062
6,Dato_formacion,,4067.0304,2.784554,49.228365,6,0.025633,3.366378,1061.792509,2640.379548
6,Dato_formacion,,4067.1828,2.8199,50.816738,6.000005,0.011296,3.252285,830.029554,4430.38001
6,Dato_formacion,,4067.3352,2.8199,50.816738,6.000005,0.011296,3.252285,683.021768,3058.721755
6,Dato_formacion,,4067.4876,2.819707,51.555565,6.007025,0.009936,3.289551,743.097798,5952.975369
6,Dato_formacion,,4067.64,2.818235,51.858281,6.000002,0.010077,3.305685,700.507313,6268.17084
6,Dato_formacion,,4067.7924,2.814858,51.970616,6.000002,0.010077,3.350911,728.222459,7396.646605
6,Dato_formacion,,4067.9448,2.815309,51.956481,6.000002,0.010077,3.344866,732.485029,7432.629247
6,Dato_formacion,,4068.0972,2.810525,52.179683,6.000001,0.010115,3.408108,673.971887,5821.17861
6,Dato_formacion,,4068.2496,2.79466,51.824669,6,0.015878,3.475794,500.40183,1882.350761
6,Dato_formacion,,4068.402,2.742737,51.170692,6,0.038524,3.607956,379.057025,826.882108
6,Dato_formacion,,4068.5544,2.719035,50.427911,6,0.057793,3.438409,297.602964,536.907815
5,Dato_formacion,,4068.7068,2.709933,50.489157,6,0.069538,3.259433,228.437015,413.360051
5,Dato_formacion,,4068.8592,2.706261,50.687533,6,0.071572,3.257446,225.109381,415.368548
5,Dato_formacion,,4069.0116,2.7031,51.082267,6,0.07332,3.255735,276.551472,560.809386
5,Dato_formacion,,4069.164,2.7031,51.082267,6,0.07332,3.255735,219.526406,420.011103
5,Dato_formacion,,4069.3164,2.714113,51.856711,6.000001,0.065428,3.310361,392.630271,908.684811
6,Dato_formacion,,4069.4688,2.729631,52.301876,6,0.058313,3.279617,361.773107,1005.730659
6,Dato_formacion,,4069.6212,2.741789,52.510668,6.0024,0.050162,3.322306,420.335972,1437.396756
6,Dato_formacion,,4069.7736,2.7567,51.997035,6.000001,0.050169,3.118185,425.181473,1486.779943
5,Dato_formacion,,4069.926,2.737987,51.752433,6.000001,0.05993,3.122759,323.229602,863.213491
5,Dato_formacion,,4070.0784,2.702784,51.093164,6,0.078885,3.115518,245.646517,519.156743
5,Dato_formacion,,4070.2308,2.676386,50.753986,6.000002,0.093363,3.101709,240.093904,472.4778
5,Dato_formacion,,4070.3832,2.65887,50.591263,6,0.10118,3.140592,218.851468,420.224088
5,Dato_formacion,,4070.5356,2.659098,50.667348,6,0.098685,3.205861,173.734049,323.492399
5,Dato_formacion,,4070.688,2.659653,51.674523,6.000004,0.09839,3.205688,165.778399,367.117177
5,Dato_formacion,,4070.8404,2.671534,52.568477,6.000003,0.091762,3.21239,216.385526,524.391906
5,Dato_formacion,,4070.9928,2.6771,52.890034,6.000003,0.091762,3.134225,199.242752,523.888101
6,Dato_formacion,,4071.1452,2.70485,54.160198,6.00007,0.055945,3.683898,150.280445,391.071076
6,Dato_formacion,,4071.2976,2.708501,54.530185,6.00007,0.064,3.422615,130.763437,401.828068
5,Dato_formacion,,4071.45,2.690985,55.246405,6.000001,0.073768,3.412425,151.078232,533.312571
5,Dato_formacion,,4071.6024,2.678749,55.744255,6.000001,0.080578,3.405262,132.294915,490.917052
5,Dato_formacion,,4071.7548,2.664901,55.928668,6.000001,0.086636,3.441112,133.380718,485.392664
5,Dato_formacion,,4071.9072,2.676863,55.318522,6.000001,0.086636,3.27209,84.543578,297.405145
5,Dato_formacion,,4072.0596,2.658534,55.877334,6.000009,0.090951,3.418411,129.687941,468.54927
